0,S&P500
2009-01-23,0.005377643504529999
2009-01-26,0.00555321834245
2009-01-27,0.0109255651051
2009-01-28,0.033557602487900004
2009-01-29,-0.0331201592513
2009-01-30,-0.0227891236955
2009-02-02,-0.000532765050613
2009-02-03,0.0158339794534
2009-02-04,-0.00748947537895
2009-02-05,0.0163656681446
2009-02-06,0.0268960217533
2009-02-09,0.00148514851485
2009-02-10,-0.0491211532493
2009-02-11,0.00795493012235
2009-02-12,0.0017391512941700002
2009-02-13,-0.00999772506855
2009-02-17,-0.045558995694500004
2009-02-18,-0.000950365573957
2009-02-19,-0.012024048096200002
2009-02-20,-0.0114129457981
2009-02-23,-0.0346990455165
2009-02-24,0.040103318849
2009-02-25,-0.010657836873
2009-02-26,-0.015779840502
2009-02-27,-0.0235644169334
2009-03-02,-0.0466201417514
2009-03-03,-0.00640678062841
2009-03-04,0.023753105567799998
2009-03-05,-0.0425322990167
2009-03-06,0.00121602812981
2009-03-09,-0.0100237056981
2009-03-10,0.0636631043708
2009-03-11,0.00244580322401
2009-03-12,0.04072862371080002
2009-03-13,0.00773903082292
2009-03-16,-0.0035159606106700005
2009-03-17,0.0321399673692
2009-03-18,0.0208579653524
2009-03-19,-0.0129791653553
2009-03-20,-0.0197693995204
2009-03-23,0.0707575402712
2009-03-24,-0.020415107179299997
2009-03-25,0.00962635835856
2009-03-26,0.0233203912125
2009-03-27,-0.0203155392263
2009-03-30,-0.0348187366718
2009-03-31,0.013129658552700001
2009-04-01,0.0165565818993
2009-04-02,0.028727129259799998
2009-04-03,0.00973177688823
2009-04-06,-0.008332344213649999
2009-04-07,-0.0238545506775
2009-04-08,0.0117834590154
2009-04-09,0.038053226041000004
2009-04-13,0.00253338937144
2009-04-14,-0.0200645138751
2009-04-15,0.012549019607799998
2009-04-16,0.015538811820799999
2009-04-17,0.0049693747833100006
2009-04-20,-0.0427897884085
2009-04-21,0.021252057328900002
2009-04-22,-0.00768162996424
2009-04-23,0.00992235196491
2009-04-24,0.016797351864
2009-04-27,-0.0100666104845
2009-04-28,-0.00274049282224
2009-04-29,0.021609991112799997
2009-04-30,-0.0009500480747220001
2009-05-01,0.00539636346971
2009-05-04,0.0338681739448
2009-05-05,-0.0037917199418000002
2009-05-06,0.017404292985200003
2009-05-07,-0.0132023968767
2009-05-08,0.024069033160999998
2009-05-11,-0.0215124350269
2009-05-12,-0.000978839470327
2009-05-13,-0.026894919359300003
2009-05-14,0.0103516155308
2009-05-15,-0.011410079837
2009-05-18,0.030389180862599997
2009-05-19,-0.00173681722747
2009-05-20,-0.00513142391508
2009-05-21,-0.016757612316999997
2009-05-22,-0.0014971913590699998
2009-05-26,0.026302142051900002
2009-05-27,-0.018971142333
2009-05-28,0.0154188968266
2009-05-29,0.013574760429200002
2009-06-01,0.025817612115700002
2009-06-02,0.00198330628825
2009-06-03,-0.013739229841
2009-06-04,0.011483643856799999
2009-06-05,-0.0025146955839000004
2009-06-08,-0.00101054154389
2009-06-09,0.0035032050599499995
2009-06-10,-0.00348036458941
2009-06-11,0.00611190970558
2009-06-12,0.00139698800919
2009-06-15,-0.0237685080479
2009-06-16,-0.012720304854299999
2009-06-17,-0.0013816243955399998
2009-06-18,0.00841101997343
2009-06-19,0.00311421322561
2009-06-22,-0.030600392952900006
2009-06-23,0.00230672758219
2009-06-24,0.00652441068037
2009-06-25,0.0214442693187
2009-06-26,-0.00147784321822
2009-06-29,0.009065186636200002
2009-06-30,-0.008530785242069999
2009-07-01,0.004361919679760001
2009-07-02,-0.029144509547
2009-07-06,0.0025657615849699997
2009-07-07,-0.0196835499377
2009-07-08,-0.00166850164013
2009-07-09,0.0035472281595300002
2009-07-10,-0.00402184257035
2009-07-13,0.0249337413124
2009-07-14,0.005316020198659999
2009-07-15,0.0296299567252
2009-07-16,0.00864176352018
2009-07-17,-0.000382677466675
2009-07-20,0.011431548948299999
2009-07-21,0.0036272644118
2009-07-22,-0.000534266378931
2009-07-23,0.0232896957246
2009-07-24,0.0030421288756399996
2009-07-27,0.0029818434328000003
2009-07-28,-0.00260644688346
2009-07-29,-0.00456299381393
2009-07-30,0.0118956058042
2009-07-31,0.0007398023815560001
2009-08-03,0.0153420828776
2009-08-04,0.00301207823424
